Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),0x0081_Unit_in_pre-operational  ,,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
481.8715,0,,481.8518,-0.3125,,481.8714,0.0,,481.8519,0.0,,481.8715,0,,481.8717,0.0,,,,,481.8714,109.0,,481.8714,31,,481.8715,0.0,,481.8717,0.0,,,,,481.8518,1.30859375,,481.8518,0.0,,481.8717,0.0,,,,,481.8717,-0.5,,
481.8915,0,,481.8718,-0.3125,,481.8914,0.0,,481.8719,0.0,,481.8915,0,,481.8917,0.0,,,,,481.8914,109.0,,481.8914,31,,481.8915,0.0,,481.8917,0.0,,,,,481.8718,1.32421875,,481.8718,0.0,,481.8917,0.0,,,,,481.8917,1.0,,
481.9115,0,,481.8918,1.25,,481.9114,0.0,,481.8919,0.0,,481.9115,0,,481.9117,0.0,,,,,481.9114,109.0,,481.9114,31,,481.9115,0.0,,481.9117,0.0,,,,,481.8918,1.30859375,,481.8918,0.0,,481.9117,0.0,,,,,481.9117,-0.1875,,
481.9316,0,,481.9118,0.1875,,481.9315,0.0,,481.9119,0.0,,481.9316,0,,481.9317,0.0,,,,,481.9315,109.0,,481.9315,31,,481.9316,0.0,,481.9317,0.0,,,,,481.9118,1.30859375,,481.9118,0.0,,481.9317,0.0,,,,,481.9317,0.0625,,
481.9515,0,,481.9319,-0.3125,,481.9514,0.0,,481.9319,0.0,,481.9515,0,,481.9517,0.0,,,,,481.9514,108.9375,,481.9514,31,,481.9515,0.0,,481.9517,0.0,,,,,481.9319,1.34375,,481.9319,0.0,,481.9517,0.0,,,,,481.9517,-1.375,,
481.9715,0,,481.9518,-0.875,,481.9714,0.0,,481.9519,0.0,,481.9715,0,,481.9716,0.0,,,,,481.9714,109.0,,481.9714,31,,481.9715,0.0,,481.9716,0.0,,,,,481.9518,1.38671875,,481.9518,0.0,,481.9716,0.0,,,,,481.9716,1.0,,
481.9915,0,,481.9718,0.25,,481.9914,0.0,,481.9718,0.0,,481.9915,0,,481.9916,0.0,,,,,481.9914,108.9375,,481.9914,31,,481.9915,0.0,,481.9916,0.0,,,,,481.9718,1.359375,,481.9718,0.0,,481.9916,0.0,,,,,481.9916,0.6875,,
482.0115,0,,481.9918,0.75,,482.0114,0.0,,481.9918,0.0,,482.0115,0,,482.0116,0.0,,,,,482.0114,109.0,,482.0114,31,,482.0115,0.0,,482.0116,0.0,,,,,481.9918,1.37890625,,481.9918,0.0,,482.0116,0.0,,,,,482.0116,-1.375,,
482.0315,0,,482.0118,-0.875,,482.0314,0.0,,482.0118,0.0,,482.0315,0,,482.0317,0.0,,,,,482.0314,108.9375,,482.0314,31,,482.0315,0.0,,482.0317,0.0,,,,,482.0118,1.31640625,,482.0118,0.0,,482.0317,0.0,,,,,482.0317,-0.5,,
482.0515,0,,482.0318,-0.3125,,482.0514,0.0,,482.0319,0.0,,482.0515,0,,482.0516,0.0,,,,,482.0514,108.875,,482.0514,31,,482.0515,0.0,,482.0516,0.0,,,,,482.0318,1.32421875,,482.0318,0.0,,482.0516,0.0,,,,,482.0516,-0.5,,
